,Feature Name,P-value
5,Prevotella,3.742571677690979e-39
13,Eggerthella,4.235581535831031e-39
6,Megasphaera,6.631470539399074e-38
0,pH,2.2455564519252887e-29
7,Sneathia,2.373924160994417e-25
15,Ruminococcaceae_3,2.8515711465194615e-25
9,Dialister,4.383395312245677e-24
8,Atopobium,1.5465142172042286e-18
17,Parvimonas,1.9318825204838908e-17
44,Coriobacteriaceae_2,3.929152949777286e-12
10,Lachnospiraceae_8,4.144367223679335e-11
45,Bulleidia,6.004877287688401e-11
2,L. crispatus,1.0295618844112325e-10
33,Bacteroidetes_8,7.549036739154691e-10
22,Mobiluncus,1.8481101236209096e-09
35,Lachnospiraceae_4,1.4772082539876953e-08
29,Lactobacillales_6,4.732697479906643e-08
36,Prevotellaceae_1,9.726068330662692e-08
42,Arcanobacterium,1.1662264770930141e-07
14,Proteobacteria_12,3.181948818976717e-07
38,Proteobacteria_1,5.766111508400272e-07
27,Lactobacillales_5,8.877562504911111e-07
1,L. iners,1.0111601111357042e-06
46,Lachnospiraceae_9,1.0853304163603105e-06
28,Ruminococcaceae_Incertae_Sedis,1.305754634583235e-06
55,Clostridiales_4,1.8336382621271318e-06
51,Bacteroidetes_1,4.228021755150898e-06
23,Porphyromonas,4.696753402415986e-06
12,Peptoniphilus,1.1411883654920083e-05
43,Lactobacillales_7,2.3214772050346232e-05
20,Prevotellaceae_2,2.8115738754281623e-05
24,Lactobacillales_2,4.347622512203818e-05
40,Proteobacteria_2,4.885890091616016e-05
26,Ruminococcaceae_4,5.318451843728513e-05
60,Ruminococcaceae_6,6.39795415163654e-05
21,Peptostreptococcus,7.246340658342646e-05
25,Gemella,0.00011195424555980874
32,Moryella,0.00019608739292806252
41,Peptococcus,0.00025121090457753893
39,Bacteroidales_1,0.00025334727741059527
16,Aerococcus,0.00030486637492167914
11,Anaerococcus,0.000679299507334687
30,Fusobacterium,0.0007901676903523665
34,Anaeroglobus,0.001072850103543232
4,L. jensenii,0.0011410489464043457
19,Gardnerella,0.001286031174949595
48,Clostridiales_1,0.0016436418643197125
49,Bacteroidetes_12,0.001997224002986057
65,Bacteroidetes_4,0.002136448743239582
56,Bacteroidetes_3,0.0033498265484092843
54,Coriobacteriaceae_3,0.0033498265484093884
52,Clostridiales_6,0.006877074818772151
37,Lactobacillus_2,0.008191392079697504
31,Actinomyces,0.01203071111651844
64,Fusobacteriaceae_1,0.012533939034387796
61,Bacteria_6,0.012533939034387796
63,Bacteroidetes_11,0.012533939034387796
58,Bacteria_15,0.012533939034387796
67,Clostridiales_5,0.012533939034387796
62,Proteobacteria_13,0.012533939034387818
53,Atopobacter,0.013093216681449795
66,Clostridia_2,0.01794900604416292
3,L. gasseri,0.021616653331087064
18,Veillonella,0.02592408892047478
50,Fastidiosipila,0.031022979683044544
59,Bacteria_12,0.035887553203482525
57,Clostridiales_16,0.03588755320348256
47,Lactococcus,0.04956612647724247
