,0
0,pH
1,L. iners
2,L. crispatus
3,L. gasseri
4,L. jensenii
5,Prevotella
6,Megasphaera
7,Sneathia
8,Atopobium
9,Dialister
10,Lachnospiraceae_8
11,Anaerococcus
12,Peptoniphilus
13,Eggerthella
14,Proteobacteria_12
15,Ruminococcaceae_3
16,Aerococcus
17,Parvimonas
18,Veillonella
19,Gardnerella
20,Prevotellaceae_2
21,Peptostreptococcus
22,Mobiluncus
23,Porphyromonas
24,Clostridiales_17
25,Lactobacillales_2
26,Gemella
27,Ruminococcaceae_4
28,Lactobacillales_5
29,Ruminococcaceae_Incertae_Sedis
30,Lactobacillales_6
31,Fusobacterium
32,Actinomyces
33,Moryella
34,Bacteroidetes_8
35,Anaeroglobus
36,Lachnospiraceae_4
37,Prevotellaceae_1
38,Lactobacillus_2
39,Proteobacteria_1
40,Bacteroidales_1
41,Proteobacteria_2
42,Peptococcus
43,Arcanobacterium
44,Lactobacillales_7
45,Coriobacteriaceae_2
46,Bulleidia
47,Lachnospiraceae_9
48,Lactococcus
49,Clostridiales_1
50,Bacteroidetes_12
51,Fastidiosipila
52,Bacteroidetes_1
53,Clostridiales_6
54,Atopobacter
55,Coriobacteriaceae_3
56,Clostridiales_4
57,Bacteroidetes_3
58,Clostridiales_16
59,Bacteria_12
60,Ruminococcaceae_6
61,Proteobacteria_9
62,Bacteria_6
63,Proteobacteria_13
64,Fusobacteriaceae_1
65,Bacteroidetes_4
66,Firmicutes_2
67,Proteobacteria_11
68,Veillonellaceae_1
69,Clostridia_2
70,Jeotgalicoccus
71,Clostridiales_5
72,Proteobacteria_3
